Query,Brand,Attributes,Product_type
10 rupees chips,A1 Chips,['10 rupees'],chips
wok tok noodles,TokiBaby,[],noodles
vitamin c tablets,Vitamin,['vitamin c'],tablets
khatta mitha namkeen,Gurujee Namkeen,"['khatta', 'mitha']",namkeen
white sesame oil,Oilatum,['white'],sesame oil
kapiva shilajit resin,Kapiva,['shilajit resin'],
kanodia mustard oil,Priya Oil,[],mustard oil
kinder joy horry potter,Kinder Joy,['horry potter'],
sunsilk hair conditioner,Sunsilk,[],hair conditioner
jai kashi wicks,Jai Kashi,[],wicks
biotique hair color,Biotique,[],hair color
biscuit 10 rs,Bisotab,['10 rs'],biscuit
jockey underwear for men,Jockey,['for men'],underwear
pierre cardin pen,Pierre Cardin,[],pen
mirinda orange drinks,Mirinda,['orange'],drinks
streax hair highlight,Streax,['hair highlight'],
bata women's footwear,Bata,"[""women's""]",footwear
mosquito repellent cream,Classic Mosquito Net,"['mosquito', 'repellent', 'cream']",
pee safe panty liners,Pee Safe,[],panty liners
body lotion parachute,Parachute,[],body lotion
baby safety helmet,,[],helmet
bombay banta lemon,Bombay Banta,['lemon'],
main door lock,,[],door lock
kojic skin whitening soap,,"['kojic', 'skin whitening']",soap
sakthi sambhar masala,Sakthi,['sambhar'],masala
oziva daily protein,OZiva,[],protein
fortune soya health,Fortune,"['soya', 'health']",
centrum ostocalcium total,Centrum,"['ostocalcium', 'total']",
quench sheet mask,Quench Botanics,[],sheet mask
bare anatomy anti,Bare Anatomy,['anti'],
veet hair cream,Veet,[],hair cream
ice cream small,Hocco Ice Creams,['small'],ice cream
black sesame oil,Bio Oil,['black'],sesame oil
7 diamonds chips,7 Diamonds,[],chips
scotch brite sponge wipe,Scotch-Brite,[],sponge wipe
classic verve cigarette,Classic,['verve'],cigarette
henko detergent bar,Henko,[],detergent bar
paper boat lychee,Paper Boat,['lychee'],
pro ease pad,,['pro ease'],pad
arata super shampoo,Arata,['super'],shampoo
om cake rusk,OM Sweets,[],cake rusk
white rangoli powder,Laxolite,['white'],rangoli powder
make up puff,Puff Daddy,[],make up puff
dishwash liquid 5 litre,Fortune Dishwasher,['5 litre'],dishwash liquid
mtr badam mix,MTR,['badam mix'],
galaxy milk chocolate,Galaxy,[],milk chocolate
ear wax cleaner,,[],ear wax cleaner
