"query","brand","attributes","product_type"
"10 rupees chips",,"['10 rupees']","chips"
"wok tok noodles",,"[]","noodles"
"vitamin c tablets","vitamin","['vitamin c']","tablets"
"khatta mitha namkeen",,"['khatta', 'mitha']","namkeen"
"white sesame oil","esam","['white']","sesame oil"
"kapiva shilajit resin","kapi","['shilajit resin']",
"kanodia mustard oil","ano","[]","mustard oil"
"kinder joy horry potter","joy","['horry potter']",
"sunsilk hair conditioner","air","[]","hair conditioner"
"jai kashi wicks","jai kashi","[]","wicks"
"biotique hair color","air","[]","hair color"
"biscuit 10 rs",,"['10 rs']","biscuit"
"jockey underwear for men","jockey","['for men']","underwear"
"pierre cardin pen","pierre cardin","[]","pen"
"mirinda orange drinks","mirinda","['orange']","drinks"
"streax hair highlight","air","['hair highlight']",
"bata women's footwear","bata","[""women's""]","footwear"
"mosquito repellent cream","elle","['mosquito', 'repellent', 'cream']",
"pee safe panty liners","ant","[]","panty liners"
"body lotion parachute","ara","[]","body lotion"
"baby safety helmet","met","[]","helmet"
"bombay banta lemon","ant","['lemon']",
"main door lock","loc","[]","door lock"
"kojic skin whitening soap","hit","['kojic', 'skin whitening']","soap"
"sakthi sambhar masala","asal","['sambhar']","masala"
"oziva daily protein","daily","[]","protein"
"fortune soya health","fortune","['soya', 'health']",
"centrum ostocalcium total","cal","['ostocalcium', 'total']",
"quench sheet mask","quench","[]","sheet mask"
"bare anatomy anti","ant","['anti']",
"veet hair cream","air","[]","hair cream"
"ice cream small","ice","['small']","ice cream"
"black sesame oil","esam","['black']","sesame oil"
"7 diamonds chips","7 diamonds","[]","chips"
"scotch brite sponge wipe","brite","[]","sponge wipe"
"classic verve cigarette","classic","['verve']","cigarette"
"henko detergent bar","gen","[]","detergent bar"
"paper boat lychee","paper boat","['lychee']",
"pro ease pad","pro","['pro ease']","pad"
"arata super shampoo","ara","['super']","shampoo"
"om cake rusk",,"[]","cake rusk"
"white rangoli powder","hit","['white']","rangoli powder"
"make up puff",,"[]","make up puff"
"dishwash liquid 5 litre","lit","['5 litre']","dishwash liquid"
"mtr badam mix","mtr","['badam mix']",
"galaxy milk chocolate","gala","[]","milk chocolate"
"ear wax cleaner",,"[]","ear wax cleaner"
"vip hair color","air","[]","hair color"
"mcaffeine gift set",,"['gift set']",
"red sauce pasta","red","['red']","sauce pasta"
"c to hdmi",,"[]","hdmi"
"noise ear buds","noise","[]","ear buds"
"noise buds vs102","noise","[]","buds"
"tomato sauce kissan","kissan","[]","sauce"
"plum cake elite","elite","['plum', 'elite']","cake"
"lemon tea powder",,"['lemon', 'tea', 'powder']","tea"
"paper boat swing","paper boat","[]","swing"
"cadbury chocolate box","cadbury","[]","chocolate box"
"ice cream cream pot","cream pot","[]","ice cream"
"baby carry bag",,"[]","carry bag"
"dairy milk packet","air","[]","packet"
"park avenue euphoria","ark","['euphoria']",
"mens face cream","ace","['mens']","face cream"
"plush pregnancy kit","plus","[]","pregnancy kit"
"tea light holder",,"[]","holder"
"chilli cheese garlic bread","garlic","['chilli', 'cheese', 'garlic']","bread"
"natural peanut butter",,"['natural']","peanut butter"
"drain cleaner powder",,"[]","drain cleaner powder"
"rosemary dry leaves",,"['rosemary', 'dry']","leaves"
"sugar free jam","sugar","['sugar free']","jam"
"soap for men",,"['for men']","soap"
"oddy food wrap","oddy","[]","food wrap"
"candy & toffee",,"[]","candy"
"daily good mishri","daily","[]","mishri"
"anmol dream lite","anmol","['dream lite']",
"all out vaporizer","all out","[]","vaporizer"
"veg atta maggie","maggi","['veg']","atta"
"harry poter kinder","kinder","['harry poter']",
"tata toor dal","tata","[]","toor dal"
"stayfree cotton pads","stayfree","['cotton']","pads"
"ups for wifi router",,"[]","ups"
"kent electric kettle","ect","[]","electric kettle"
"crompton iron box","crompton","[]","iron box"
"classmate practical notebook","cal","[]","notebook"
"shaving razor women","avi","['women']","shaving razor"
"phy body wash","phy","[]","body wash"
"korean style chips",,"['korean style']","chips"
"u.s. polo assn.","polo","[]",
"chicken biryani mix","hic","['chicken', 'biryani', 'mix']",
"aerial top load",,"[]","top load"
"chocolate mini bite",,"['chocolate', 'mini']","bite"
"toothbrush with cover","bru","['with cover']","toothbrush"
"gloves for winter",,"['for winter']","gloves"
"amul ghee pouch","amul","[]","ghee"
"wipro smart bulb","pro","['smart']","bulb"
"everest turmeric powder","ever","[]","turmeric powder"
"mamaearth hair serum","air","[]","hair serum"
"chane ka saag",,"[]","saag"
"khatta meetha namkeen",,"['khatta', 'meetha']","namkeen"
"kitchen knife set","itch","[]","knife set"
"cables & chargers","arg","[]","cables & chargers"
"kinder joy barbie","joy","['barbie']",
"jaggery peanut butter",,"['jaggery']","peanut butter"
"baby hair brush","air","[]","hair brush"
"daily good akhrot","daily","['akhrot']",
"ponds face powder","ace","[]","face powder"
"amul milk gold","amul","['gold']","milk"
"organic tattva sugar","nic","[]","sugar"
"mamypoko pants diaper xl","ant","['xl']","diaper"
"cocosutra hot chocolate powder","cocosutra","['hot chocolate']","powder"
"10 rupees items",,"['10 rupees']","items"
"cream pot strawberry","cream pot","['strawberry']","cream"
"kinderjoy  harry potter","joy","['harry potter']",
"loreal night cream","oreal","['night']","cream"
"cotton face mask","ace","['cotton']","face mask"
"mars lip drip mist","mars","['lip', 'drip', 'mist']",
"medimix body wash","medimix","[]","body wash"
